"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"TX0040002","CITY OF ROCKPORT","Region 6","Texas","Community water system","26,450","-","-","26","4","8"
"TX0280012","TRI COMMUNITY WSC","Region 6","Texas","Community water system","1,698","-","-","13","50","5"
"TX1013205","HARRIS COUNTY LEADERSHIP ACADEMY","Region 6","Texas","Community water system","130","-","-","8","15","5"
"TX2490018","T L WATER JONES ACRES","Region 6","Texas","Community water system","120","-","-","12","253","4"
"TX2330022","HOLIDAY TRAV L PARK","Region 6","Texas","Community water system","660","-","-","8","112","5"
"TX1870151","TEXAS LANDING UTILITIES","Region 6","Texas","Community water system","371","-","-","15","4","7"
"TX1700744","TEXAS LANDING UTILITIES GOODE CITY","Region 6","Texas","Community water system","141","-","-","8","2","2"
"TX1700798","TEXAS LANDING UTILITIES DEERWOOD","Region 6","Texas","Community water system","162","-","-","9","0","1"
"TX1013239","TIMBER CREEK ESTATES","Region 6","Texas","Community water system","54","-","-","6","12","4"
"TX1700427","EVERETT SQUARE WINDCREST ESTATES","Region 6","Texas","Community water system","261","-","-","11","15","5"
"TX1700676","HIGHLINE OAKS WATER UTILITY","Region 6","Texas","Community water system","114","-","-","6","26","6"
"TX1700074","MONTGOMERY PLACE WATER SYSTEM","Region 6","Texas","Community water system","180","-","-","9","20","6"
"TX0790438","CINCO SOUTHWEST MUD 1","Region 6","Texas","Community water system","102","-","-","22","0","4"
"TX1010145","NITSCH & SON UTILITY","Region 6","Texas","Community water system","2,142","-","-","11","1","6"
"TX0260012","CENTERLINE WSC","Region 6","Texas","Community water system","105","-","-","10","114","6"
"TX1010322","WHITE OAK MANOR MOBILE HOME PARK","Region 6","Texas","Community water system","630","-","-","14","15","7"
"TX0840009","GALVESTON COUNTY WCID 8","Region 6","Texas","Community water system","7,194","-","-","25","5","8"
"TX0720054","THOUSAND OAKS SUBDIVISION","Region 6","Texas","Community water system","45","-","-","8","13","1"
"TX1520292","HEARTLAND HOUSE","Region 6","Texas","Community water system","26","-","-","4","31","1"
"TX1980006","BETHANY HEARNE WSC","Region 6","Texas","Community water system","475","-","-","9","0","5"
"TX1020063","CLEARWATER DISTRIBUTION","Region 6","Texas","Community water system","252","-","-","11","27","8"
"TX1700208","WASHINGTON COUNTY RAILROAD","Region 6","Texas","Community water system","648","-","-","13","7","7"
"TX1700632","SHADY OAKS ESTATES","Region 6","Texas","Community water system","648","-","-","19","16","2"
"TX0720058","ALFORD RENTALS","Region 6","Texas","Community water system","120","-","-","10","2","0"
"TX0820016","DERBY ING","Region 6","Texas","Community water system","81","-","-","8","295","7"
"TX0200183","LAKE JACKSON MOBILE HOME PARK & RV","Region 6","Texas","Community water system","93","-","-","11","78","5"
"TX0020001","CITY OF ANDREWS","Region 6","Texas","Community water system","11,088","-","-","50","151","12"
"TX0200223","PLEASANT MEADOWS SUBDIVISION","Region 6","Texas","Community water system","81","-","-","5","2","7"
"TX0360093","CARRIAGE TRAIL SUBDIVISION","Region 6","Texas","Community water system","96","-","-","5","19","6"
"TX0360096","PLANTATION ON COTTON BAYOU","Region 6","Texas","Community water system","1,497","-","-","20","8","7"
"TX0920026","FOREST LAKE SUBDIVISION","Region 6","Texas","Community water system","339","-","-","16","5","8"
"TX1010535","PINE TRAILS UTILITY","Region 6","Texas","Community water system","6,969","-","-","12","5","7"
"TX0460022","CANYON SPRINGS WATER","Region 6","Texas","Community water system","1,182","-","-","22","4","6"
"TX0010038","DOGWOOD HILLS NORTH","Region 6","Texas","Community water system","177","-","-","4","4","7"
"TX0010039","DOGWOOD HILLS EAST","Region 6","Texas","Community water system","249","-","-","4","2","8"
"TX0200415","SOUTH MEADOWS EAST","Region 6","Texas","Community water system","360","-","-","11","1","7"
"TX0320015","CHEROKEE POINT WATER CO","Region 6","Texas","Community water system","186","-","-","8","3","7"
"TX0610163","SARATOGA ESTATES","Region 6","Texas","Community water system","456","-","-","12","6","9"
"TX0610164","FOXBANE COMBINED WS","Region 6","Texas","Community water system","1,362","-","-","37","1","7"
"TX0610165","SONGBIRD ADDITION","Region 6","Texas","Community water system","294","-","-","17","3","8"
"TX0610201","PONDER ACRES WATER SYSTEM","Region 6","Texas","Community water system","108","-","-","9","2","6"
"TX0610009","WREN WATER SYSTEM","Region 6","Texas","Community water system","696","-","-","17","5","7"
"TX0790385","FULBROOK SUBDIVISION WATER PLANT","Region 6","Texas","Community water system","660","-","-","9","0","7"
"TX0790389","SHADOW GROVE ESTATES","Region 6","Texas","Community water system","111","-","-","8","0","9"
"TX0790396","ROSEMEADOWS III","Region 6","Texas","Community water system","435","-","-","8","8","5"
"TX0720037","MOUNTAIN LAKES ADDITION","Region 6","Texas","Community water system","534","-","-","11","2","4"
"TX0200151","FLORA 7","Region 6","Texas","Community water system","45","-","-","6","0","8"
"TX0200152","CALICO FARMS SUBDIVISION","Region 6","Texas","Community water system","75","-","-","7","2","8"
"TX0200153","FLORA 6","Region 6","Texas","Community water system","51","-","-","5","0","7"
"TX0200189","MEADOWVIEW SUBDIVISION","Region 6","Texas","Community water system","129","-","-","10","22","8"
"TX0200211","WELLBORN ACRES","Region 6","Texas","Community water system","51","-","-","5","2","7"
"TX1490017","LAKE VISTA UTILITY CO","Region 6","Texas","Community water system","732","-","-","16","3","7"
"TX1500043","PECAN UTILITIES OAK RIDGE SUBDIVISION","Region 6","Texas","Community water system","576","-","-","7","4","6"
"TX2130036","GREENFIELDS ON SQUAW CREEK","Region 6","Texas","Community water system","51","-","-","9","1","7"
"TX2200185","EAGLES NEST","Region 6","Texas","Community water system","84","-","-","10","2","8"
"TX2490077","HAWK RIDGE","Region 6","Texas","Community water system","25","-","-","4","1","0"
"TX0270134","STONE MOUNTAIN SUBDIVISION","Region 6","Texas","Community water system","33","-","-","10","8","0"
"TX0360122","BARROW RANCH","Region 6","Texas","Community water system","564","-","-","8","4","3"
"TX1610007","MATAGORDA COUNTY WCID 6","Region 6","Texas","Community water system","1,392","-","-","10","10","6"
"TX1830012","REHOBETH WSC","Region 6","Texas","Community water system","1,071","-","-","8","5","7"
"TX2120017","LINDALE RURAL WSC","Region 6","Texas","Community water system","12,315","-","-","35","4","6"
"TX2340033","TOE WATER SUPPLY CORPORATION","Region 6","Texas","Community water system","255","-","-","16","38","6"
"TX0200227","MORELAND SUBDIVISION BLOCK 3&4","Region 6","Texas","Community water system","93","-","-","8","0","8"
"TX0200229","WINDSONG SUBDIVISION","Region 6","Texas","Community water system","129","-","-","11","25","8"
"TX0200242","PALMETTO SUBDIVISION","Region 6","Texas","Community water system","120","-","-","9","0","7"
"TX0200248","PLEASANTDALE SUBDIVISION","Region 6","Texas","Community water system","48","-","-","5","0","7"
"TX0200254","WESTWOOD SUBDIVISION","Region 6","Texas","Community water system","84","-","-","5","0","6"
"TX0200255","SANDY RIDGE SUBDIVISION","Region 6","Texas","Community water system","60","-","-","5","4","8"
"TX0150431","ESTATES UTILITY CO STONEGATE","Region 6","Texas","Community water system","276","-","-","12","0","7"
"TX1330091","OAK FOREST SOUTH WATER SUPPLY","Region 6","Texas","Community water system","636","-","-","12","1","5"
"TX1330097","NICKERSON FARM WATER SYSTEM","Region 6","Texas","Community water system","168","-","-","13","1","6"
"TX1330101","SLEEPY HOLLOW","Region 6","Texas","Community water system","162","-","-","9","0","5"
"TX1330107","PECAN VALLEY","Region 6","Texas","Community water system","114","-","-","9","1","6"
"TX1330111","CENTER POINT NORTH WATER SYSTEM","Region 6","Texas","Community water system","237","-","-","8","4","7"
"TX1330113","FOUR SEASONS","Region 6","Texas","Community water system","870","-","-","10","2","5"
"TX1330124","NORTHWEST HILLS SUBDIVISION","Region 6","Texas","Community water system","315","-","-","8","0","5"
"TX1330126","BEAR PAW WATER SYSTEM","Region 6","Texas","Community water system","354","-","-","18","0","6"
"TX1330139","REAL OAKS SUBDIVISION","Region 6","Texas","Community water system","60","-","-","9","0","5"
"TX1260010","OAKVIEW FARMS SUBDIVISION","Region 6","Texas","Community water system","225","-","-","14","2","8"
"TX1160063","QUINLAN NORTH SUBDIVISION","Region 6","Texas","Community water system","189","-","-","11","1","8"
"TX0790405","RIVERWOOD FOREST","Region 6","Texas","Community water system","678","-","-","10","6","5"
"TX1011860","BERRY HILL ESTATES","Region 6","Texas","Community water system","144","-","-","9","0","6"
"TX1011861","ROLLING OAKS","Region 6","Texas","Community water system","285","-","-","9","4","7"
